vm_policy;link_policy;wf_policy;# units: time(s); switchId; energy(watt)
LWFF;BLA;PSO;100;5;1.8528
LWFF;BLA;PSO;100;4;1.8528
LWFF;BLA;PSO;110;7;2.0381
LWFF;BLA;PSO;110;6;2.0381
LWFF;BLA;PSO;110;5;2.0381
LWFF;BLA;PSO;110;4;2.0381
LWFF;BLA;PSO;120;7;2.2233
LWFF;BLA;PSO;120;6;2.2233
LWFF;BLA;PSO;120;5;2.2233
LWFF;BLA;PSO;120;4;2.2233
LWFF;BLA;PSO;130;7;2.4086
LWFF;BLA;PSO;130;6;2.4086
LWFF;BLA;PSO;130;5;2.4086
LWFF;BLA;PSO;130;4;2.4086
LWFF;BLA;PSO;140;7;2.4086
LWFF;BLA;PSO;140;6;2.4086
LWFF;BLA;PSO;140;5;2.4086
LWFF;BLA;PSO;140;4;2.4086
LWFF;BLA;SJF;10;7;0.1853
LWFF;BLA;SJF;10;6;0.1853
LWFF;BLA;SJF;10;5;0.1853
LWFF;BLA;SJF;10;4;0.1853
LWFF;BLA;SJF;20;7;0.3706
LWFF;BLA;SJF;20;6;0.3706
LWFF;BLA;SJF;20;5;0.3706
LWFF;BLA;SJF;20;4;0.3706
LWFF;BLA;SJF;30;7;0.5558
LWFF;BLA;SJF;30;6;0.5558
LWFF;BLA;SJF;30;5;0.5558
LWFF;BLA;SJF;30;4;0.5558
LWFF;BLA;SJF;40;7;0.7411
LWFF;BLA;SJF;40;6;0.7411
LWFF;BLA;SJF;40;5;0.7411
LWFF;BLA;SJF;40;4;0.7411
LWFF;BLA;SJF;50;7;0.9264
LWFF;BLA;SJF;50;6;0.9264
LWFF;BLA;SJF;50;5;0.9264
LWFF;BLA;SJF;50;4;0.9264
LWFF;BLA;SJF;60;7;1.1117
LWFF;BLA;SJF;60;6;1.1117
LWFF;BLA;SJF;60;5;1.1117
LWFF;BLA;SJF;60;4;1.1117
LWFF;BLA;SJF;70;7;1.2969
LWFF;BLA;SJF;70;6;1.2969
LWFF;BLA;SJF;70;5;1.2969
LWFF;BLA;SJF;70;4;1.2969
LWFF;BLA;SJF;80;7;1.4822
LWFF;BLA;SJF;80;6;1.4822
LWFF;BLA;SJF;80;5;1.4822
LWFF;BLA;SJF;80;4;1.4822
LWFF;BLA;SJF;90;7;1.6675
LWFF;BLA;SJF;90;6;1.6675
LWFF;BLA;SJF;90;5;1.6675
LWFF;BLA;SJF;90;4;1.6675
LWFF;BLA;SJF;100;7;1.8528
LWFF;BLA;SJF;100;6;1.8528
LWFF;BLA;SJF;100;5;1.8528
LWFF;BLA;SJF;100;4;1.8528
LWFF;BLA;SJF;110;7;2.0381
LWFF;BLA;SJF;110;6;2.0381
LWFF;BLA;SJF;110;5;2.0381
LWFF;BLA;SJF;110;4;2.0381
LWFF;BLA;SJF;120;7;2.2233
LWFF;BLA;SJF;120;6;2.2233
LWFF;BLA;SJF;120;5;2.2233
LWFF;BLA;SJF;120;4;2.2233
LWFF;BLA;SJF;130;7;2.4086
LWFF;BLA;SJF;130;6;2.4086
LWFF;BLA;SJF;130;5;2.4086
LWFF;BLA;SJF;130;4;2.4086
LWFF;BLA;SJF;140;7;2.5939
LWFF;BLA;SJF;140;6;2.5939
LWFF;BLA;SJF;140;5;2.5939
LWFF;BLA;SJF;140;4;2.5939
LWFF;BLA;SJF;150;7;2.5939
LWFF;BLA;SJF;150;6;2.5939
LWFF;BLA;SJF;150;5;2.5939
LWFF;BLA;SJF;150;4;2.5939
LWFF;BLA;SJF;160;7;2.5939
LWFF;BLA;SJF;160;6;2.5939
LWFF;BLA;SJF;160;5;2.5939
LWFF;BLA;SJF;160;4;2.5939
LWFF;First;Priority;10;7;0.1853
LWFF;First;Priority;10;6;0.1853
LWFF;First;Priority;10;5;0.1853
LWFF;First;Priority;10;4;0.1853
LWFF;First;Priority;20;7;0.3706
LWFF;First;Priority;20;6;0.3706
LWFF;First;Priority;20;5;0.3706
LWFF;First;Priority;20;4;0.3706
LWFF;First;Priority;30;7;0.5558
LWFF;First;Priority;30;6;0.5558
LWFF;First;Priority;30;5;0.5558
LWFF;First;Priority;30;4;0.5558
LWFF;First;Priority;40;7;0.7411
LWFF;First;Priority;40;6;0.7411
LWFF;First;Priority;40;5;0.7411
LWFF;First;Priority;40;4;0.7411
LWFF;First;Priority;50;7;0.9264
LWFF;First;Priority;50;6;0.9264
LWFF;First;Priority;50;5;0.9264
LWFF;First;Priority;50;4;0.9264
LWFF;First;Priority;60;7;1.1117
LWFF;First;Priority;60;6;1.1117
LWFF;First;Priority;60;5;1.1117
LWFF;First;Priority;60;4;1.1117
LWFF;First;Priority;70;7;1.2969
LWFF;First;Priority;70;6;1.2969
LWFF;First;Priority;70;5;1.2969
LWFF;First;Priority;70;4;1.2969
LWFF;First;Priority;80;7;1.4822
LWFF;First;Priority;80;6;1.4822
LWFF;First;Priority;80;5;1.4822
LWFF;First;Priority;80;4;1.4822
LWFF;First;Priority;90;7;1.6675
LWFF;First;Priority;90;6;1.6675
LWFF;First;Priority;90;5;1.6675
LWFF;First;Priority;90;4;1.6675
LWFF;First;Priority;100;7;1.8528
LWFF;First;Priority;100;6;1.8528
LWFF;First;Priority;100;5;1.8528
LWFF;First;Priority;100;4;1.8528
LWFF;First;Priority;110;7;2.0381
LWFF;First;Priority;110;6;2.0381
LWFF;First;Priority;110;5;2.0381
LWFF;First;Priority;110;4;2.0381
LWFF;First;Priority;120;7;2.2233
LWFF;First;Priority;120;6;2.2233
LWFF;First;Priority;120;5;2.2233
LWFF;First;Priority;120;4;2.2233
LWFF;First;Priority;130;7;2.4086
LWFF;First;Priority;130;6;2.4086
LWFF;First;Priority;130;5;2.4086
LWFF;First;Priority;130;4;2.4086
LWFF;First;Priority;140;7;2.5939
LWFF;First;Priority;140;6;2.5939
LWFF;First;Priority;140;5;2.5939
LWFF;First;Priority;140;4;2.5939
LWFF;First;Priority;150;7;2.7792
LWFF;First;Priority;150;6;2.7792
LWFF;First;Priority;150;5;2.7792
LWFF;First;Priority;150;4;2.7792
LWFF;First;Priority;160;7;2.9644
LWFF;First;Priority;160;6;2.9644
LWFF;First;Priority;160;5;2.9644
LWFF;First;Priority;160;4;2.9644
LWFF;First;PSO;10;7;0.1853
LWFF;First;PSO;10;6;0.1853
LWFF;First;PSO;10;5;0.1853
LWFF;First;PSO;10;4;0.1853
LWFF;First;PSO;20;7;0.3706
LWFF;First;PSO;20;6;0.3706
LWFF;First;PSO;20;5;0.3706
LWFF;First;PSO;20;4;0.3706
LWFF;First;PSO;30;7;0.5558
LWFF;First;PSO;30;6;0.5558
LWFF;First;PSO;30;5;0.5558
LWFF;First;PSO;30;4;0.5558
LWFF;First;PSO;40;7;0.7411
LWFF;First;PSO;40;6;0.7411
LWFF;First;PSO;40;5;0.7411
LWFF;First;PSO;40;4;0.7411
LWFF;First;PSO;50;7;0.9264
LWFF;First;PSO;50;6;0.9264
LWFF;First;PSO;50;5;0.9264
LWFF;First;PSO;50;4;0.9264
LWFF;First;PSO;60;7;1.1117
LWFF;First;PSO;60;6;1.1117
LWFF;First;PSO;60;5;1.1117
LWFF;First;PSO;60;4;1.1117
LWFF;First;PSO;70;7;1.2969
LWFF;First;PSO;70;6;1.2969
LWFF;First;PSO;70;5;1.2969
LWFF;First;PSO;70;4;1.2969
LWFF;First;PSO;80;7;1.4822
LWFF;First;PSO;80;6;1.4822
LWFF;First;PSO;80;5;1.4822
LWFF;First;PSO;80;4;1.4822
LWFF;First;PSO;90;7;1.6675
LWFF;First;PSO;90;6;1.6675
LWFF;First;PSO;90;5;1.6675
LWFF;First;PSO;90;4;1.6675
LWFF;First;PSO;100;7;1.8528
LWFF;First;PSO;100;6;1.8528
LWFF;First;PSO;100;5;1.8528
LWFF;First;PSO;100;4;1.8528
LWFF;First;PSO;110;7;2.0381
LWFF;First;PSO;110;6;2.0381
LWFF;First;PSO;110;5;2.0381
LWFF;First;PSO;110;4;2.0381
LWFF;First;PSO;120;7;2.2233
LWFF;First;PSO;120;6;2.2233
LWFF;First;PSO;120;5;2.2233
LWFF;First;PSO;120;4;2.2233
LWFF;First;PSO;130;7;2.4086
LWFF;First;PSO;130;6;2.4086
LWFF;First;PSO;130;5;2.4086
LWFF;First;PSO;130;4;2.4086
LWFF;First;PSO;140;7;2.5939
LWFF;First;PSO;140;6;2.5939
LWFF;First;PSO;140;5;2.5939
LWFF;First;PSO;140;4;2.5939
LWFF;First;SJF;10;7;0.1853
LWFF;First;SJF;10;6;0.1853
LWFF;First;SJF;10;5;0.1853
LWFF;First;SJF;10;4;0.1853
LWFF;First;SJF;20;7;0.3706
LWFF;First;SJF;20;6;0.3706
LWFF;First;SJF;20;5;0.3706
LWFF;First;SJF;20;4;0.3706
LWFF;First;SJF;30;7;0.5558
LWFF;First;SJF;30;6;0.5558
LWFF;First;SJF;30;5;0.5558
LWFF;First;SJF;30;4;0.5558
LWFF;First;SJF;40;7;0.7411
LWFF;First;SJF;40;6;0.7411
LWFF;First;SJF;40;5;0.7411
LWFF;First;SJF;40;4;0.7411
LWFF;First;SJF;50;7;0.9264
LWFF;First;SJF;50;6;0.9264
LWFF;First;SJF;50;5;0.9264
LWFF;First;SJF;50;4;0.9264
LWFF;First;SJF;60;7;1.1117
LWFF;First;SJF;60;6;1.1117
LWFF;First;SJF;60;5;1.1117
LWFF;First;SJF;60;4;1.1117
LWFF;First;SJF;70;7;1.2969
LWFF;First;SJF;70;6;1.2969
LWFF;First;SJF;70;5;1.2969
LWFF;First;SJF;70;4;1.2969
LWFF;First;SJF;80;7;1.4822
LWFF;First;SJF;80;6;1.4822
LWFF;First;SJF;80;5;1.4822
LWFF;First;SJF;80;4;1.4822
LWFF;First;SJF;90;7;1.6675
LWFF;First;SJF;90;6;1.6675
LWFF;First;SJF;90;5;1.6675
LWFF;First;SJF;90;4;1.6675
LWFF;First;SJF;100;7;1.8528
LWFF;First;SJF;100;6;1.8528
LWFF;First;SJF;100;5;1.8528
LWFF;First;SJF;100;4;1.8528
LWFF;First;SJF;110;7;2.0381
LWFF;First;SJF;110;6;2.0381
LWFF;First;SJF;110;5;2.0381
LWFF;First;SJF;110;4;2.0381
LWFF;First;SJF;120;7;2.2233
LWFF;First;SJF;120;6;2.2233
LWFF;First;SJF;120;5;2.2233
LWFF;First;SJF;120;4;2.2233
LWFF;First;SJF;130;7;2.4086
LWFF;First;SJF;130;6;2.4086
LWFF;First;SJF;130;5;2.4086
LWFF;First;SJF;130;4;2.4086
LWFF;First;SJF;140;7;2.5939
LWFF;First;SJF;140;6;2.5939
LWFF;First;SJF;140;5;2.5939
LWFF;First;SJF;140;4;2.5939
LWFF;First;SJF;150;7;2.7792
LWFF;First;SJF;150;6;2.7792
LWFF;First;SJF;150;5;2.7792
LWFF;First;SJF;150;4;2.7792
LWFF;First;SJF;160;7;2.9644
LWFF;First;SJF;160;6;2.9644
LWFF;First;SJF;160;5;2.9644
LWFF;First;SJF;160;4;2.9644
MFF;BLA;Priority;10;7;0.1853
MFF;BLA;Priority;10;6;0.1853
MFF;BLA;Priority;10;5;0.1853
MFF;BLA;Priority;10;4;0.1853
MFF;BLA;Priority;20;7;0.3706
MFF;BLA;Priority;20;6;0.3706
MFF;BLA;Priority;20;5;0.3706
MFF;BLA;Priority;20;4;0.3706
MFF;BLA;Priority;30;7;0.5558
MFF;BLA;Priority;30;6;0.5558
MFF;BLA;Priority;30;5;0.5558
MFF;BLA;Priority;30;4;0.5558
MFF;BLA;Priority;40;7;0.7411
MFF;BLA;Priority;40;6;0.7411
MFF;BLA;Priority;40;5;0.7411
MFF;BLA;Priority;40;4;0.7411
MFF;BLA;Priority;50;7;0.9264
MFF;BLA;Priority;50;6;0.9264
MFF;BLA;Priority;50;5;0.9264
MFF;BLA;Priority;50;4;0.9264
MFF;BLA;Priority;60;7;1.1117
MFF;BLA;Priority;60;6;1.1117
MFF;BLA;Priority;60;5;1.1117
MFF;BLA;Priority;60;4;1.1117
MFF;BLA;Priority;70;7;1.1117
MFF;BLA;Priority;70;6;1.1117
MFF;BLA;Priority;70;5;1.1117
MFF;BLA;Priority;70;4;1.1117
MFF;BLA;PSO;10;7;0.1853
MFF;BLA;PSO;10;6;0.1853
MFF;BLA;PSO;10;5;0.1853
MFF;BLA;PSO;10;4;0.1853
MFF;BLA;PSO;20;7;0.3706
MFF;BLA;PSO;20;6;0.3706
MFF;BLA;PSO;20;5;0.3706
MFF;BLA;PSO;20;4;0.3706
MFF;BLA;PSO;30;7;0.5558
MFF;BLA;PSO;30;6;0.5558
MFF;BLA;PSO;30;5;0.5558
MFF;BLA;PSO;30;4;0.5558
MFF;BLA;PSO;40;7;0.7411
MFF;BLA;PSO;40;6;0.7411
MFF;BLA;PSO;40;5;0.7411
MFF;BLA;PSO;40;4;0.7411
MFF;BLA;PSO;50;7;0.9264
MFF;BLA;PSO;50;6;0.9264
MFF;BLA;PSO;50;5;0.9264
MFF;BLA;PSO;50;4;0.9264
MFF;BLA;SJF;10;7;0.1853
MFF;BLA;SJF;10;6;0.1853
MFF;BLA;SJF;10;5;0.1853
MFF;BLA;SJF;10;4;0.1853
MFF;BLA;SJF;20;7;0.3706
MFF;BLA;SJF;20;6;0.3706
MFF;BLA;SJF;20;5;0.3706
MFF;BLA;SJF;20;4;0.3706
MFF;BLA;SJF;30;7;0.5558
MFF;BLA;SJF;30;6;0.5558
MFF;BLA;SJF;30;5;0.5558
MFF;BLA;SJF;30;4;0.5558
MFF;BLA;SJF;40;7;0.7411
MFF;BLA;SJF;40;6;0.7411
MFF;BLA;SJF;40;5;0.7411
MFF;BLA;SJF;40;4;0.7411
MFF;BLA;SJF;50;7;0.9264
MFF;BLA;SJF;50;6;0.9264
MFF;BLA;SJF;50;5;0.9264
MFF;BLA;SJF;50;4;0.9264
MFF;BLA;SJF;60;7;1.1117
MFF;BLA;SJF;60;6;1.1117
MFF;BLA;SJF;60;5;1.1117
MFF;BLA;SJF;60;4;1.1117
MFF;BLA;SJF;70;7;1.1117
MFF;BLA;SJF;70;6;1.1117
MFF;BLA;SJF;70;5;1.1117
MFF;BLA;SJF;70;4;1.1117
MFF;First;Priority;10;7;0.1853
MFF;First;Priority;10;6;0.1853
MFF;First;Priority;10;5;0.1853
MFF;First;Priority;10;4;0.1853
MFF;First;Priority;20;7;0.3706
MFF;First;Priority;20;6;0.3706
MFF;First;Priority;20;5;0.3706
MFF;First;Priority;20;4;0.3706
MFF;First;Priority;30;7;0.5558
MFF;First;Priority;30;6;0.5558
MFF;First;Priority;30;5;0.5558
MFF;First;Priority;30;4;0.5558
MFF;First;Priority;40;7;0.7411
MFF;First;Priority;40;6;0.7411
MFF;First;Priority;40;5;0.7411
MFF;First;Priority;40;4;0.7411
MFF;First;Priority;50;7;0.9264
MFF;First;Priority;50;6;0.9264
MFF;First;Priority;50;5;0.9264
MFF;First;Priority;50;4;0.9264
MFF;First;Priority;60;7;1.1117
MFF;First;Priority;60;6;1.1117
MFF;First;Priority;60;5;1.1117
MFF;First;Priority;60;4;1.1117
MFF;First;Priority;70;7;1.1117
MFF;First;Priority;70;6;1.1117
MFF;First;Priority;70;5;1.1117
MFF;First;Priority;70;4;1.1117
MFF;First;PSO;10;7;0.1853
MFF;First;PSO;10;6;0.1853
MFF;First;PSO;10;5;0.1853
MFF;First;PSO;10;4;0.1853
MFF;First;PSO;20;7;0.3706
MFF;First;PSO;20;6;0.3706
MFF;First;PSO;20;5;0.3706
MFF;First;PSO;20;4;0.3706
MFF;First;PSO;30;7;0.5558
MFF;First;PSO;30;6;0.5558
MFF;First;PSO;30;5;0.5558
MFF;First;PSO;30;4;0.5558
MFF;First;PSO;40;7;0.7411
MFF;First;PSO;40;6;0.7411
MFF;First;PSO;40;5;0.7411
MFF;First;PSO;40;4;0.7411
MFF;First;PSO;50;7;0.9264
MFF;First;PSO;50;6;0.9264
MFF;First;PSO;50;5;0.9264
MFF;First;PSO;50;4;0.9264
MFF;First;SJF;10;7;0.1853
MFF;First;SJF;10;6;0.1853
MFF;First;SJF;10;5;0.1853
MFF;First;SJF;10;4;0.1853
MFF;First;SJF;20;7;0.3706
MFF;First;SJF;20;6;0.3706
MFF;First;SJF;20;5;0.3706
MFF;First;SJF;20;4;0.3706
MFF;First;SJF;30;7;0.5558
MFF;First;SJF;30;6;0.5558
MFF;First;SJF;30;5;0.5558
MFF;First;SJF;30;4;0.5558
MFF;First;SJF;40;7;0.7411
MFF;First;SJF;40;6;0.7411
MFF;First;SJF;40;5;0.7411
MFF;First;SJF;40;4;0.7411
MFF;First;SJF;50;7;0.9264
MFF;First;SJF;50;6;0.9264
MFF;First;SJF;50;5;0.9264
MFF;First;SJF;50;4;0.9264
MFF;First;SJF;60;7;1.1117
MFF;First;SJF;60;6;1.1117
MFF;First;SJF;60;5;1.1117
MFF;First;SJF;60;4;1.1117
MFF;First;SJF;70;7;1.1117
MFF;First;SJF;70;6;1.1117
MFF;First;SJF;70;5;1.1117
MFF;First;SJF;70;4;1.1117
