time;node_id;cpu_w;ram_w;bw_w;total_w;vm_policy;link_policy;wf_policy
10.0;3;6.25;12.5;20.0;0.3338;LFF;BLA;Priority
10.0;2;12.5;25.0;20.0;0.3343;LFF;BLA;Priority
10.0;1;3.13;12.5;20.0;0.3337;LFF;BLA;Priority
10.0;0;6.25;12.5;20.0;0.3338;LFF;BLA;Priority
10.0;3;6.25;12.5;32.0;0.0704;LFF;BLA;Priority
10.0;2;12.5;25.0;81.6;0.0716;LFF;BLA;Priority
10.0;1;3.13;12.5;137.6;0.0717;LFF;BLA;Priority
10.0;0;6.25;12.5;24.0;0.0703;LFF;BLA;Priority
20.0;3;6.25;12.5;20.0;0.3338;LFF;BLA;Priority
20.0;2;12.5;25.0;20.0;0.3343;LFF;BLA;Priority
20.0;1;3.13;12.5;20.0;0.3337;LFF;BLA;Priority
20.0;0;6.25;12.5;20.0;0.3338;LFF;BLA;Priority
20.0;3;6.25;12.5;20.0;0.0702;LFF;BLA;Priority
20.0;2;12.5;25.0;120.0;0.0721;LFF;BLA;Priority
20.0;1;3.13;12.5;178.4;0.0723;LFF;BLA;Priority
20.0;0;6.25;12.5;38.4;0.0705;LFF;BLA;Priority
30.0;3;6.25;12.5;20.0;0.3338;LFF;BLA;Priority
30.0;2;12.5;25.0;20.0;0.3343;LFF;BLA;Priority
30.0;1;3.13;12.5;20.0;0.3337;LFF;BLA;Priority
30.0;0;6.25;12.5;20.0;0.3338;LFF;BLA;Priority
30.0;3;6.25;12.5;20.0;0.0702;LFF;BLA;Priority
30.0;2;12.5;25.0;61.6;0.0713;LFF;BLA;Priority
30.0;1;3.13;12.5;108.8;0.0713;LFF;BLA;Priority
30.0;0;6.25;12.5;27.2;0.0703;LFF;BLA;Priority
40.0;3;6.25;12.5;20.0;0.3338;LFF;BLA;Priority
40.0;2;12.5;25.0;20.0;0.3343;LFF;BLA;Priority
40.0;1;3.13;12.5;20.0;0.3337;LFF;BLA;Priority
40.0;0;6.25;12.5;20.0;0.3338;LFF;BLA;Priority
40.0;3;6.25;12.5;0.0;0.0699;LFF;BLA;Priority
40.0;2;12.5;25.0;0.0;0.0704;LFF;BLA;Priority
40.0;1;3.13;12.5;0.0;0.0698;LFF;BLA;Priority
40.0;0;6.25;12.5;0.0;0.0699;LFF;BLA;Priority
50.0;3;6.25;12.5;20.0;0.3338;LFF;BLA;Priority
50.0;2;12.5;25.0;20.0;0.3343;LFF;BLA;Priority
50.0;1;3.13;12.5;20.0;0.3337;LFF;BLA;Priority
50.0;0;6.25;12.5;20.0;0.3338;LFF;BLA;Priority
50.0;3;6.25;12.5;0.0;0.0699;LFF;BLA;Priority
50.0;2;12.5;25.0;0.0;0.0704;LFF;BLA;Priority
50.0;1;3.13;12.5;0.0;0.0698;LFF;BLA;Priority
50.0;0;6.25;12.5;0.0;0.0699;LFF;BLA;Priority
60.0;3;6.25;12.5;20.0;0.3338;LFF;BLA;Priority
60.0;2;12.5;25.0;20.0;0.3343;LFF;BLA;Priority
60.0;1;3.13;12.5;20.0;0.3337;LFF;BLA;Priority
60.0;0;6.25;12.5;20.0;0.3338;LFF;BLA;Priority
60.0;3;6.25;12.5;0.0;0.0699;LFF;BLA;Priority
60.0;2;12.5;25.0;0.0;0.0704;LFF;BLA;Priority
60.0;1;3.13;12.5;0.0;0.0698;LFF;BLA;Priority
60.0;0;6.25;12.5;0.0;0.0699;LFF;BLA;Priority
70.0;3;6.25;12.5;20.0;0.3338;LFF;BLA;Priority
70.0;2;12.5;25.0;20.0;0.3343;LFF;BLA;Priority
70.0;1;3.13;12.5;20.0;0.3337;LFF;BLA;Priority
70.0;0;6.25;12.5;20.0;0.3338;LFF;BLA;Priority
70.0;3;6.25;12.5;0.0;0.0699;LFF;BLA;Priority
70.0;2;12.5;25.0;0.0;0.0704;LFF;BLA;Priority
70.0;1;3.13;12.5;0.0;0.0698;LFF;BLA;Priority
70.0;0;6.25;12.5;0.0;0.0699;LFF;BLA;Priority
80.0;3;6.25;12.5;20.0;0.3338;LFF;BLA;Priority
80.0;2;12.5;25.0;20.0;0.3343;LFF;BLA;Priority
80.0;1;3.13;12.5;20.0;0.3337;LFF;BLA;Priority
80.0;0;6.25;12.5;20.0;0.3338;LFF;BLA;Priority
80.0;3;6.25;12.5;0.0;0.0699;LFF;BLA;Priority
80.0;2;12.5;25.0;0.0;0.0704;LFF;BLA;Priority
80.0;1;3.13;12.5;0.0;0.0698;LFF;BLA;Priority
80.0;0;6.25;12.5;0.0;0.0699;LFF;BLA;Priority
90.0;3;6.25;12.5;20.0;0.3338;LFF;BLA;Priority
90.0;2;12.5;25.0;20.0;0.3343;LFF;BLA;Priority
90.0;1;3.13;12.5;20.0;0.3337;LFF;BLA;Priority
90.0;0;6.25;12.5;20.0;0.3338;LFF;BLA;Priority
90.0;3;6.25;12.5;0.0;0.0699;LFF;BLA;Priority
90.0;2;12.5;25.0;0.0;0.0704;LFF;BLA;Priority
90.0;1;3.13;12.5;0.0;0.0698;LFF;BLA;Priority
90.0;0;6.25;12.5;0.0;0.0699;LFF;BLA;Priority
100.0;3;6.25;12.5;20.0;0.3338;LFF;BLA;Priority
100.0;2;12.5;25.0;20.0;0.3343;LFF;BLA;Priority
100.0;1;3.13;12.5;20.0;0.3337;LFF;BLA;Priority
100.0;0;6.25;12.5;20.0;0.3338;LFF;BLA;Priority
100.0;3;6.25;12.5;0.0;0.0699;LFF;BLA;Priority
100.0;2;12.5;25.0;0.0;0.0704;LFF;BLA;Priority
100.0;1;3.13;12.5;0.0;0.0698;LFF;BLA;Priority
100.0;0;6.25;12.5;0.0;0.0699;LFF;BLA;Priority
110.0;3;6.25;12.5;20.0;0.3338;LFF;BLA;Priority
110.0;2;12.5;25.0;20.0;0.3343;LFF;BLA;Priority
110.0;1;3.13;12.5;20.0;0.3337;LFF;BLA;Priority
110.0;0;6.25;12.5;20.0;0.3338;LFF;BLA;Priority
110.0;3;6.25;12.5;0.0;0.0699;LFF;BLA;Priority
110.0;2;12.5;25.0;0.0;0.0704;LFF;BLA;Priority
110.0;1;3.13;12.5;0.0;0.0698;LFF;BLA;Priority
110.0;0;6.25;12.5;0.0;0.0699;LFF;BLA;Priority
120.0;3;6.25;12.5;20.0;0.3338;LFF;BLA;Priority
120.0;2;12.5;25.0;20.0;0.3343;LFF;BLA;Priority
120.0;1;3.13;12.5;20.0;0.3337;LFF;BLA;Priority
120.0;0;6.25;12.5;20.0;0.3338;LFF;BLA;Priority
120.0;3;6.25;12.5;0.0;0.0699;LFF;BLA;Priority
120.0;2;12.5;25.0;0.0;0.0704;LFF;BLA;Priority
120.0;1;3.13;12.5;0.0;0.0698;LFF;BLA;Priority
120.0;0;6.25;12.5;0.0;0.0699;LFF;BLA;Priority
130.0;3;6.25;12.5;20.0;0.3338;LFF;BLA;Priority
130.0;2;12.5;25.0;20.0;0.3343;LFF;BLA;Priority
130.0;1;3.13;12.5;20.0;0.3337;LFF;BLA;Priority
130.0;0;6.25;12.5;20.0;0.3338;LFF;BLA;Priority
130.0;3;6.25;12.5;0.0;0.0699;LFF;BLA;Priority
130.0;2;12.5;25.0;0.0;0.0704;LFF;BLA;Priority
130.0;1;3.13;12.5;0.0;0.0698;LFF;BLA;Priority
130.0;0;6.25;12.5;0.0;0.0699;LFF;BLA;Priority
140.0;3;6.25;12.5;20.0;0.3338;LFF;BLA;Priority
140.0;2;12.5;25.0;20.0;0.3343;LFF;BLA;Priority
140.0;1;3.13;12.5;20.0;0.3337;LFF;BLA;Priority
140.0;0;6.25;12.5;20.0;0.3338;LFF;BLA;Priority
162.3;3;6.25;12.5;20.0;0.7445;LFF;BLA;Priority
162.3;2;12.5;25.0;20.0;0.7454;LFF;BLA;Priority
162.3;1;3.13;12.5;20.0;0.7442;LFF;BLA;Priority
162.3;0;6.25;12.5;20.0;0.7445;LFF;BLA;Priority
176.4;3;6.25;12.5;20.0;0.4707;LFF;BLA;Priority
176.4;2;12.5;25.0;20.0;0.4713;LFF;BLA;Priority
176.4;1;3.13;12.5;20.0;0.4705;LFF;BLA;Priority
176.4;0;6.25;12.5;20.0;0.4707;LFF;BLA;Priority
186.4;3;6.25;12.5;20.0;0.3338;LFF;BLA;Priority
186.4;2;12.5;25.0;20.0;0.3343;LFF;BLA;Priority
186.4;1;3.13;12.5;20.0;0.3337;LFF;BLA;Priority
186.4;0;6.25;12.5;20.0;0.3338;LFF;BLA;Priority
10.0;3;6.25;12.5;20.0;0.3338;LFF;BLA;PSO
10.0;2;12.5;25.0;20.0;0.3343;LFF;BLA;PSO
10.0;1;3.13;12.5;20.0;0.3337;LFF;BLA;PSO
10.0;0;6.25;12.5;20.0;0.3338;LFF;BLA;PSO
10.0;3;6.25;12.5;72.0;0.0709;LFF;BLA;PSO
10.0;2;12.5;25.0;263.2;0.0741;LFF;BLA;PSO
10.0;1;3.13;12.5;424.8;0.0757;LFF;BLA;PSO
10.0;0;6.25;12.5;89.6;0.0712;LFF;BLA;PSO
20.0;3;6.25;12.5;20.0;0.3338;LFF;BLA;PSO
20.0;2;12.5;25.0;20.0;0.3343;LFF;BLA;PSO
20.0;1;3.13;12.5;20.0;0.3337;LFF;BLA;PSO
20.0;0;6.25;12.5;20.0;0.3338;LFF;BLA;PSO
20.0;3;6.25;12.5;0.0;0.0699;LFF;BLA;PSO
20.0;2;12.5;25.0;0.0;0.0704;LFF;BLA;PSO
20.0;1;3.13;12.5;0.0;0.0698;LFF;BLA;PSO
20.0;0;6.25;12.5;0.0;0.0699;LFF;BLA;PSO
30.0;3;6.25;12.5;20.0;0.3338;LFF;BLA;PSO
30.0;2;12.5;25.0;20.0;0.3343;LFF;BLA;PSO
30.0;1;3.13;12.5;20.0;0.3337;LFF;BLA;PSO
30.0;0;6.25;12.5;20.0;0.3338;LFF;BLA;PSO
30.0;3;6.25;12.5;0.0;0.0699;LFF;BLA;PSO
30.0;2;12.5;25.0;0.0;0.0704;LFF;BLA;PSO
30.0;1;3.13;12.5;0.0;0.0698;LFF;BLA;PSO
30.0;0;6.25;12.5;0.0;0.0699;LFF;BLA;PSO
40.0;3;6.25;12.5;20.0;0.3338;LFF;BLA;PSO
40.0;2;12.5;25.0;20.0;0.3343;LFF;BLA;PSO
40.0;1;3.13;12.5;20.0;0.3337;LFF;BLA;PSO
40.0;0;6.25;12.5;20.0;0.3338;LFF;BLA;PSO
40.0;3;6.25;12.5;0.0;0.0699;LFF;BLA;PSO
40.0;2;12.5;25.0;0.0;0.0704;LFF;BLA;PSO
40.0;1;3.13;12.5;0.0;0.0698;LFF;BLA;PSO
40.0;0;6.25;12.5;0.0;0.0699;LFF;BLA;PSO
50.0;3;6.25;12.5;20.0;0.3338;LFF;BLA;PSO
50.0;2;12.5;25.0;20.0;0.3343;LFF;BLA;PSO
50.0;1;3.13;12.5;20.0;0.3337;LFF;BLA;PSO
50.0;0;6.25;12.5;20.0;0.3338;LFF;BLA;PSO
50.0;3;6.25;12.5;0.0;0.0699;LFF;BLA;PSO
50.0;2;12.5;25.0;0.0;0.0704;LFF;BLA;PSO
50.0;1;3.13;12.5;0.0;0.0698;LFF;BLA;PSO
50.0;0;6.25;12.5;0.0;0.0699;LFF;BLA;PSO
60.0;3;6.25;12.5;20.0;0.3338;LFF;BLA;PSO
60.0;2;12.5;25.0;20.0;0.3343;LFF;BLA;PSO
60.0;1;3.13;12.5;20.0;0.3337;LFF;BLA;PSO
60.0;0;6.25;12.5;20.0;0.3338;LFF;BLA;PSO
60.0;3;6.25;12.5;0.0;0.0699;LFF;BLA;PSO
60.0;2;12.5;25.0;0.0;0.0704;LFF;BLA;PSO
60.0;1;3.13;12.5;0.0;0.0698;LFF;BLA;PSO
60.0;0;6.25;12.5;0.0;0.0699;LFF;BLA;PSO
70.0;3;6.25;12.5;20.0;0.3338;LFF;BLA;PSO
70.0;2;12.5;25.0;20.0;0.3343;LFF;BLA;PSO
70.0;1;3.13;12.5;20.0;0.3337;LFF;BLA;PSO
70.0;0;6.25;12.5;20.0;0.3338;LFF;BLA;PSO
70.0;3;6.25;12.5;0.0;0.0699;LFF;BLA;PSO
70.0;2;12.5;25.0;0.0;0.0704;LFF;BLA;PSO
70.0;1;3.13;12.5;0.0;0.0698;LFF;BLA;PSO
70.0;0;6.25;12.5;0.0;0.0699;LFF;BLA;PSO
80.0;3;6.25;12.5;20.0;0.3338;LFF;BLA;PSO
80.0;2;12.5;25.0;20.0;0.3343;LFF;BLA;PSO
80.0;1;3.13;12.5;20.0;0.3337;LFF;BLA;PSO
80.0;0;6.25;12.5;20.0;0.3338;LFF;BLA;PSO
80.0;3;6.25;12.5;0.0;0.0699;LFF;BLA;PSO
80.0;2;12.5;25.0;0.0;0.0704;LFF;BLA;PSO
80.0;1;3.13;12.5;0.0;0.0698;LFF;BLA;PSO
80.0;0;6.25;12.5;0.0;0.0699;LFF;BLA;PSO
90.0;3;6.25;12.5;20.0;0.3338;LFF;BLA;PSO
90.0;2;12.5;25.0;20.0;0.3343;LFF;BLA;PSO
90.0;1;3.13;12.5;20.0;0.3337;LFF;BLA;PSO
90.0;0;6.25;12.5;20.0;0.3338;LFF;BLA;PSO
90.0;3;6.25;12.5;0.0;0.0699;LFF;BLA;PSO
90.0;2;12.5;25.0;0.0;0.0704;LFF;BLA;PSO
90.0;1;3.13;12.5;0.0;0.0698;LFF;BLA;PSO
90.0;0;6.25;12.5;0.0;0.0699;LFF;BLA;PSO
100.0;3;6.25;12.5;20.0;0.3338;LFF;BLA;PSO
100.0;2;12.5;25.0;20.0;0.3343;LFF;BLA;PSO
100.0;1;3.13;12.5;20.0;0.3337;LFF;BLA;PSO
100.0;0;6.25;12.5;20.0;0.3338;LFF;BLA;PSO
100.0;3;6.25;12.5;0.0;0.0699;LFF;BLA;PSO
100.0;2;12.5;25.0;0.0;0.0704;LFF;BLA;PSO
100.0;1;3.13;12.5;0.0;0.0698;LFF;BLA;PSO
100.0;0;6.25;12.5;0.0;0.0699;LFF;BLA;PSO
110.0;3;6.25;12.5;20.0;0.3338;LFF;BLA;PSO
110.0;2;12.5;25.0;20.0;0.3343;LFF;BLA;PSO
110.0;1;3.13;12.5;20.0;0.3337;LFF;BLA;PSO
110.0;0;6.25;12.5;20.0;0.3338;LFF;BLA;PSO
110.0;3;6.25;12.5;0.0;0.0699;LFF;BLA;PSO
110.0;2;12.5;25.0;0.0;0.0704;LFF;BLA;PSO
110.0;1;3.13;12.5;0.0;0.0698;LFF;BLA;PSO
110.0;0;6.25;12.5;0.0;0.0699;LFF;BLA;PSO
120.0;3;6.25;12.5;20.0;0.3338;LFF;BLA;PSO
120.0;2;12.5;25.0;20.0;0.3343;LFF;BLA;PSO
120.0;1;3.13;12.5;20.0;0.3337;LFF;BLA;PSO
120.0;0;6.25;12.5;20.0;0.3338;LFF;BLA;PSO
120.0;3;6.25;12.5;0.0;0.0699;LFF;BLA;PSO
120.0;2;12.5;25.0;0.0;0.0704;LFF;BLA;PSO
120.0;1;3.13;12.5;0.0;0.0698;LFF;BLA;PSO
120.0;0;6.25;12.5;0.0;0.0699;LFF;BLA;PSO
130.0;3;6.25;12.5;20.0;0.3338;LFF;BLA;PSO
130.0;2;12.5;25.0;20.0;0.3343;LFF;BLA;PSO
130.0;1;3.13;12.5;20.0;0.3337;LFF;BLA;PSO
130.0;0;6.25;12.5;20.0;0.3338;LFF;BLA;PSO
142.3;3;6.25;12.5;20.0;0.4106;LFF;BLA;PSO
142.3;2;12.5;25.0;20.0;0.4112;LFF;BLA;PSO
142.3;1;3.13;12.5;20.0;0.4105;LFF;BLA;PSO
142.3;0;6.25;12.5;20.0;0.4106;LFF;BLA;PSO
166.4;3;6.25;12.5;20.0;0.8045;LFF;BLA;PSO
166.4;2;12.5;25.0;20.0;0.8056;LFF;BLA;PSO
166.4;1;3.13;12.5;20.0;0.8042;LFF;BLA;PSO
166.4;0;6.25;12.5;20.0;0.8045;LFF;BLA;PSO
176.4;3;6.25;12.5;20.0;0.3338;LFF;BLA;PSO
176.4;2;12.5;25.0;20.0;0.3343;LFF;BLA;PSO
176.4;1;3.13;12.5;20.0;0.3337;LFF;BLA;PSO
176.4;0;6.25;12.5;20.0;0.3338;LFF;BLA;PSO
10.0;3;6.25;12.5;20.0;0.3338;LFF;BLA;SJF
10.0;2;12.5;25.0;20.0;0.3343;LFF;BLA;SJF
10.0;1;3.13;12.5;20.0;0.3337;LFF;BLA;SJF
10.0;0;6.25;12.5;20.0;0.3338;LFF;BLA;SJF
10.0;3;6.25;12.5;32.0;0.0704;LFF;BLA;SJF
10.0;2;12.5;25.0;81.6;0.0716;LFF;BLA;SJF
10.0;1;3.13;12.5;137.6;0.0717;LFF;BLA;SJF
10.0;0;6.25;12.5;24.0;0.0703;LFF;BLA;SJF
20.0;3;6.25;12.5;20.0;0.3338;LFF;BLA;SJF
20.0;2;12.5;25.0;20.0;0.3343;LFF;BLA;SJF
20.0;1;3.13;12.5;20.0;0.3337;LFF;BLA;SJF
20.0;0;6.25;12.5;20.0;0.3338;LFF;BLA;SJF
20.0;3;6.25;12.5;20.0;0.0702;LFF;BLA;SJF
20.0;2;12.5;25.0;120.0;0.0721;LFF;BLA;SJF
20.0;1;3.13;12.5;178.4;0.0723;LFF;BLA;SJF
20.0;0;6.25;12.5;38.4;0.0705;LFF;BLA;SJF
30.0;3;6.25;12.5;20.0;0.3338;LFF;BLA;SJF
30.0;2;12.5;25.0;20.0;0.3343;LFF;BLA;SJF
30.0;1;3.13;12.5;20.0;0.3337;LFF;BLA;SJF
30.0;0;6.25;12.5;20.0;0.3338;LFF;BLA;SJF
30.0;3;6.25;12.5;20.0;0.0702;LFF;BLA;SJF
30.0;2;12.5;25.0;61.6;0.0713;LFF;BLA;SJF
30.0;1;3.13;12.5;108.8;0.0713;LFF;BLA;SJF
30.0;0;6.25;12.5;27.2;0.0703;LFF;BLA;SJF
40.0;3;6.25;12.5;20.0;0.3338;LFF;BLA;SJF
40.0;2;12.5;25.0;20.0;0.3343;LFF;BLA;SJF
40.0;1;3.13;12.5;20.0;0.3337;LFF;BLA;SJF
40.0;0;6.25;12.5;20.0;0.3338;LFF;BLA;SJF
40.0;3;6.25;12.5;0.0;0.0699;LFF;BLA;SJF
40.0;2;12.5;25.0;0.0;0.0704;LFF;BLA;SJF
40.0;1;3.13;12.5;0.0;0.0698;LFF;BLA;SJF
40.0;0;6.25;12.5;0.0;0.0699;LFF;BLA;SJF
50.0;3;6.25;12.5;20.0;0.3338;LFF;BLA;SJF
50.0;2;12.5;25.0;20.0;0.3343;LFF;BLA;SJF
50.0;1;3.13;12.5;20.0;0.3337;LFF;BLA;SJF
50.0;0;6.25;12.5;20.0;0.3338;LFF;BLA;SJF
50.0;3;6.25;12.5;0.0;0.0699;LFF;BLA;SJF
50.0;2;12.5;25.0;0.0;0.0704;LFF;BLA;SJF
50.0;1;3.13;12.5;0.0;0.0698;LFF;BLA;SJF
50.0;0;6.25;12.5;0.0;0.0699;LFF;BLA;SJF
60.0;3;6.25;12.5;20.0;0.3338;LFF;BLA;SJF
60.0;2;12.5;25.0;20.0;0.3343;LFF;BLA;SJF
60.0;1;3.13;12.5;20.0;0.3337;LFF;BLA;SJF
60.0;0;6.25;12.5;20.0;0.3338;LFF;BLA;SJF
60.0;3;6.25;12.5;0.0;0.0699;LFF;BLA;SJF
60.0;2;12.5;25.0;0.0;0.0704;LFF;BLA;SJF
60.0;1;3.13;12.5;0.0;0.0698;LFF;BLA;SJF
60.0;0;6.25;12.5;0.0;0.0699;LFF;BLA;SJF
70.0;3;6.25;12.5;20.0;0.3338;LFF;BLA;SJF
70.0;2;12.5;25.0;20.0;0.3343;LFF;BLA;SJF
70.0;1;3.13;12.5;20.0;0.3337;LFF;BLA;SJF
70.0;0;6.25;12.5;20.0;0.3338;LFF;BLA;SJF
70.0;3;6.25;12.5;0.0;0.0699;LFF;BLA;SJF
70.0;2;12.5;25.0;0.0;0.0704;LFF;BLA;SJF
70.0;1;3.13;12.5;0.0;0.0698;LFF;BLA;SJF
70.0;0;6.25;12.5;0.0;0.0699;LFF;BLA;SJF
80.0;3;6.25;12.5;20.0;0.3338;LFF;BLA;SJF
80.0;2;12.5;25.0;20.0;0.3343;LFF;BLA;SJF
80.0;1;3.13;12.5;20.0;0.3337;LFF;BLA;SJF
80.0;0;6.25;12.5;20.0;0.3338;LFF;BLA;SJF
80.0;3;6.25;12.5;0.0;0.0699;LFF;BLA;SJF
80.0;2;12.5;25.0;0.0;0.0704;LFF;BLA;SJF
80.0;1;3.13;12.5;0.0;0.0698;LFF;BLA;SJF
80.0;0;6.25;12.5;0.0;0.0699;LFF;BLA;SJF
90.0;3;6.25;12.5;20.0;0.3338;LFF;BLA;SJF
90.0;2;12.5;25.0;20.0;0.3343;LFF;BLA;SJF
90.0;1;3.13;12.5;20.0;0.3337;LFF;BLA;SJF
90.0;0;6.25;12.5;20.0;0.3338;LFF;BLA;SJF
90.0;3;6.25;12.5;0.0;0.0699;LFF;BLA;SJF
90.0;2;12.5;25.0;0.0;0.0704;LFF;BLA;SJF
90.0;1;3.13;12.5;0.0;0.0698;LFF;BLA;SJF
90.0;0;6.25;12.5;0.0;0.0699;LFF;BLA;SJF
100.0;3;6.25;12.5;20.0;0.3338;LFF;BLA;SJF
100.0;2;12.5;25.0;20.0;0.3343;LFF;BLA;SJF
100.0;1;3.13;12.5;20.0;0.3337;LFF;BLA;SJF
100.0;0;6.25;12.5;20.0;0.3338;LFF;BLA;SJF
100.0;3;6.25;12.5;0.0;0.0699;LFF;BLA;SJF
100.0;2;12.5;25.0;0.0;0.0704;LFF;BLA;SJF
100.0;1;3.13;12.5;0.0;0.0698;LFF;BLA;SJF
100.0;0;6.25;12.5;0.0;0.0699;LFF;BLA;SJF
110.0;3;6.25;12.5;20.0;0.3338;LFF;BLA;SJF
110.0;2;12.5;25.0;20.0;0.3343;LFF;BLA;SJF
110.0;1;3.13;12.5;20.0;0.3337;LFF;BLA;SJF
110.0;0;6.25;12.5;20.0;0.3338;LFF;BLA;SJF
110.0;3;6.25;12.5;0.0;0.0699;LFF;BLA;SJF
110.0;2;12.5;25.0;0.0;0.0704;LFF;BLA;SJF
110.0;1;3.13;12.5;0.0;0.0698;LFF;BLA;SJF
110.0;0;6.25;12.5;0.0;0.0699;LFF;BLA;SJF
120.0;3;6.25;12.5;20.0;0.3338;LFF;BLA;SJF
120.0;2;12.5;25.0;20.0;0.3343;LFF;BLA;SJF
120.0;1;3.13;12.5;20.0;0.3337;LFF;BLA;SJF
120.0;0;6.25;12.5;20.0;0.3338;LFF;BLA;SJF
120.0;3;6.25;12.5;0.0;0.0699;LFF;BLA;SJF
120.0;2;12.5;25.0;0.0;0.0704;LFF;BLA;SJF
120.0;1;3.13;12.5;0.0;0.0698;LFF;BLA;SJF
120.0;0;6.25;12.5;0.0;0.0699;LFF;BLA;SJF
130.0;3;6.25;12.5;20.0;0.3338;LFF;BLA;SJF
130.0;2;12.5;25.0;20.0;0.3343;LFF;BLA;SJF
130.0;1;3.13;12.5;20.0;0.3337;LFF;BLA;SJF
130.0;0;6.25;12.5;20.0;0.3338;LFF;BLA;SJF
130.0;3;6.25;12.5;0.0;0.0699;LFF;BLA;SJF
130.0;2;12.5;25.0;0.0;0.0704;LFF;BLA;SJF
130.0;1;3.13;12.5;0.0;0.0698;LFF;BLA;SJF
130.0;0;6.25;12.5;0.0;0.0699;LFF;BLA;SJF
140.0;3;6.25;12.5;20.0;0.3338;LFF;BLA;SJF
140.0;2;12.5;25.0;20.0;0.3343;LFF;BLA;SJF
140.0;1;3.13;12.5;20.0;0.3337;LFF;BLA;SJF
140.0;0;6.25;12.5;20.0;0.3338;LFF;BLA;SJF
162.3;3;6.25;12.5;20.0;0.7445;LFF;BLA;SJF
162.3;2;12.5;25.0;20.0;0.7454;LFF;BLA;SJF
162.3;1;3.13;12.5;20.0;0.7442;LFF;BLA;SJF
162.3;0;6.25;12.5;20.0;0.7445;LFF;BLA;SJF
176.4;3;6.25;12.5;20.0;0.4707;LFF;BLA;SJF
176.4;2;12.5;25.0;20.0;0.4713;LFF;BLA;SJF
176.4;1;3.13;12.5;20.0;0.4705;LFF;BLA;SJF
176.4;0;6.25;12.5;20.0;0.4707;LFF;BLA;SJF
186.4;3;6.25;12.5;20.0;0.3338;LFF;BLA;SJF
186.4;2;12.5;25.0;20.0;0.3343;LFF;BLA;SJF
186.4;1;3.13;12.5;20.0;0.3337;LFF;BLA;SJF
186.4;0;6.25;12.5;20.0;0.3338;LFF;BLA;SJF
10.0;3;6.25;12.5;20.0;0.3338;LFF;First;Priority
10.0;2;12.5;25.0;20.0;0.3343;LFF;First;Priority
10.0;1;3.13;12.5;20.0;0.3337;LFF;First;Priority
10.0;0;6.25;12.5;20.0;0.3338;LFF;First;Priority
