# units: time(s); hostId; vmIds
0,00;h_5;8
0,00;h_4;0
0,00;h_3;0
0,00;h_2;0
0,00;h_1;0
0,00;h_0;0
10;5;5|6|7|4|0|2|3|1
10;4;
10;3;
10;2;
10;1;
10;0;
20;5;5|6|7|4|0|2|3|1
20;4;
20;3;
20;2;
20;1;
20;0;
30;5;5|6|7|4|0|2|3|1
30;4;
30;3;
30;2;
30;1;
30;0;
40;5;5|6|7|4|0|2|3|1
40;4;
40;3;
40;2;
40;1;
40;0;
50;5;5|6|7|4|0|2|3|1
50;4;
50;3;
50;2;
50;1;
50;0;
60;5;5|6|7|4|0|2|3|1
60;4;
60;3;
60;2;
60;1;
60;0;
70;5;5|6|7|4|0|2|3|1
70;4;
70;3;
70;2;
70;1;
70;0;
80;5;5|6|7|4|0|2|3|1
80;4;
80;3;
80;2;
80;1;
80;0;
90;5;5|6|7|4|0|2|3|1
90;4;
90;3;
90;2;
90;1;
90;0;
100;5;5|6|7|4|0|2|3|1
100;4;
100;3;
100;2;
100;1;
100;0;
110;5;5|6|7|4|0|2|3|1
110;4;
110;3;
110;2;
110;1;
110;0;
120;5;5|6|7|4|0|2|3|1
120;4;
120;3;
120;2;
120;1;
120;0;
130;5;5|6|7|4|0|2|3|1
130;4;
130;3;
130;2;
130;1;
130;0;
140;5;5|6|7|4|0|2|3|1
140;4;
140;3;
140;2;
140;1;
140;0;
150;5;5|6|7|4|0|2|3|1
150;4;
150;3;
150;2;
150;1;
150;0;
160;5;5|6|7|4|0|2|3|1
160;4;
160;3;
160;2;
160;1;
160;0;
170;5;5|6|7|4|0|2|3|1
170;4;
170;3;
170;2;
170;1;
170;0;
180;5;5|6|7|4|0|2|3|1
180;4;
180;3;
180;2;
180;1;
180;0;
190;5;5|6|7|4|0|2|3|1
190;4;
190;3;
190;2;
190;1;
190;0;
200;5;5|6|7|4|0|2|3|1
200;4;
200;3;
200;2;
200;1;
200;0;
210;5;5|6|7|4|0|2|3|1
210;4;
210;3;
210;2;
210;1;
210;0;
220;5;5|6|7|4|0|2|3|1
220;4;
220;3;
220;2;
220;1;
220;0;
230;5;5|6|7|4|0|2|3|1
230;4;
230;3;
230;2;
230;1;
230;0;
240;5;5|6|7|4|0|2|3|1
240;4;
240;3;
240;2;
240;1;
240;0;
250;5;5|6|7|4|0|2|3|1
250;4;
250;3;
250;2;
250;1;
250;0;
260;5;5|6|7|4|0|2|3|1
260;4;
260;3;
260;2;
260;1;
260;0;
270;5;5|6|7|4|0|2|3|1
270;4;
270;3;
270;2;
270;1;
270;0;
280;5;5|6|7|4|0|2|3|1
280;4;
280;3;
280;2;
280;1;
280;0;
290;5;5|6|7|4|0|2|3|1
290;4;
290;3;
290;2;
290;1;
290;0;
300;5;5|6|7|4|0|2|3|1
300;4;
300;3;
300;2;
300;1;
300;0;
310;5;5|6|7|4|0|2|3|1
310;4;
310;3;
310;2;
310;1;
310;0;
320;5;5|6|7|4|0|2|3|1
320;4;
320;3;
320;2;
320;1;
320;0;
330;5;5|6|7|4|0|2|3|1
330;4;
330;3;
330;2;
330;1;
330;0;
340;5;5|6|7|4|0|2|3|1
340;4;
340;3;
340;2;
340;1;
340;0;
350;5;5|6|7|4|0|2|3|1
350;4;
350;3;
350;2;
350;1;
350;0;
360;5;5|6|7|4|0|2|3|1
360;4;
360;3;
360;2;
360;1;
360;0;
370;5;5|6|7|4|0|2|3|1
370;4;
370;3;
370;2;
370;1;
370;0;
380;5;5|6|7|4|0|2|3|1
380;4;
380;3;
380;2;
380;1;
380;0;
390;5;5|6|7|4|0|2|3|1
390;4;
390;3;
390;2;
390;1;
390;0;
400;5;5|6|7|4|0|2|3|1
400;4;
400;3;
400;2;
400;1;
400;0;
410;5;5|6|7|4|0|2|3|1
410;4;
410;3;
410;2;
410;1;
410;0;
420;5;5|6|7|4|0|2|3|1
420;4;
420;3;
420;2;
420;1;
420;0;
430;5;5|6|7|4|0|2|3|1
430;4;
430;3;
430;2;
430;1;
430;0;
440;5;5|6|7|4|0|2|3|1
440;4;
440;3;
440;2;
440;1;
440;0;
450;5;5|6|7|4|0|2|3|1
450;4;
450;3;
450;2;
450;1;
450;0;
460;5;5|6|7|4|0|2|3|1
460;4;
460;3;
460;2;
460;1;
460;0;
470;5;5|6|7|4|0|2|3|1
470;4;
470;3;
470;2;
470;1;
470;0;
480;5;5|6|7|4|0|2|3|1
480;4;
480;3;
480;2;
480;1;
480;0;
490;5;5|6|7|4|0|2|3|1
490;4;
490;3;
490;2;
490;1;
490;0;
500;5;5|6|7|4|0|2|3|1
500;4;
500;3;
500;2;
500;1;
500;0;
510;5;5|6|7|4|0|2|3|1
510;4;
510;3;
510;2;
510;1;
510;0;
520;5;5|6|7|4|0|2|3|1
520;4;
520;3;
520;2;
520;1;
520;0;
530;5;5|6|7|4|0|2|3|1
530;4;
530;3;
530;2;
530;1;
530;0;
540;5;5|6|7|4|0|2|3|1
540;4;
540;3;
540;2;
540;1;
540;0;
550;5;5|6|7|4|0|2|3|1
550;4;
550;3;
550;2;
550;1;
550;0;
560;5;5|6|7|4|0|2|3|1
560;4;
560;3;
560;2;
560;1;
560;0;
570;5;5|6|7|4|0|2|3|1
570;4;
570;3;
570;2;
570;1;
570;0;
580;5;5|6|7|4|0|2|3|1
580;4;
580;3;
580;2;
580;1;
580;0;
590;5;5|6|7|4|0|2|3|1
590;4;
590;3;
590;2;
590;1;
590;0;
600;5;5|6|7|4|0|2|3|1
600;4;
600;3;
600;2;
600;1;
600;0;
610;5;5|6|7|4|0|2|3|1
610;4;
610;3;
610;2;
610;1;
610;0;
620;5;5|6|7|4|0|2|3|1
620;4;
620;3;
620;2;
620;1;
620;0;
630;5;5|6|7|4|0|2|3|1
630;4;
630;3;
630;2;
630;1;
630;0;
640;5;5|6|7|4|0|2|3|1
640;4;
640;3;
640;2;
640;1;
640;0;
650;5;5|6|7|4|0|2|3|1
650;4;
650;3;
650;2;
650;1;
650;0;
660;5;5|6|7|4|0|2|3|1
660;4;
660;3;
660;2;
660;1;
660;0;
670;5;5|6|7|4|0|2|3|1
670;4;
670;3;
670;2;
670;1;
670;0;
680;5;5|6|7|4|0|2|3|1
680;4;
680;3;
680;2;
680;1;
680;0;
690;5;5|6|7|4|0|2|3|1
690;4;
690;3;
690;2;
690;1;
690;0;
700;5;5|6|7|4|0|2|3|1
700;4;
700;3;
700;2;
700;1;
700;0;
710;5;5|6|7|4|0|2|3|1
710;4;
710;3;
710;2;
710;1;
710;0;
720;5;5|6|7|4|0|2|3|1
720;4;
720;3;
720;2;
720;1;
720;0;
730;5;5|6|7|4|0|2|3|1
730;4;
730;3;
730;2;
730;1;
730;0;
740;5;5|6|7|4|0|2|3|1
740;4;
740;3;
740;2;
740;1;
740;0;
750;5;5|6|7|4|0|2|3|1
750;4;
750;3;
750;2;
750;1;
750;0;
760;5;5|6|7|4|0|2|3|1
760;4;
760;3;
760;2;
760;1;
760;0;
770;5;5|6|7|4|0|2|3|1
770;4;
770;3;
770;2;
770;1;
770;0;
780;5;5|6|7|4|0|2|3|1
780;4;
780;3;
780;2;
780;1;
780;0;
790;5;5|6|7|4|0|2|3|1
790;4;
790;3;
790;2;
790;1;
790;0;
800;5;5|6|7|4|0|2|3|1
800;4;
800;3;
800;2;
800;1;
800;0;
810;5;5|6|7|4|0|2|3|1
810;4;
810;3;
810;2;
810;1;
810;0;
820;5;5|6|7|4|0|2|3|1
820;4;
820;3;
820;2;
820;1;
820;0;
830;5;5|6|7|4|0|2|3|1
830;4;
830;3;
830;2;
830;1;
830;0;
840;5;5|6|7|4|0|2|3|1
840;4;
840;3;
840;2;
840;1;
840;0;
850;5;5|6|7|4|0|2|3|1
850;4;
850;3;
850;2;
850;1;
850;0;
860;5;5|6|7|4|0|2|3|1
860;4;
860;3;
860;2;
860;1;
860;0;
870;5;5|6|7|4|0|2|3|1
870;4;
870;3;
870;2;
870;1;
870;0;
880;5;5|6|7|4|0|2|3|1
880;4;
880;3;
880;2;
880;1;
880;0;
890;5;5|6|7|4|0|2|3|1
890;4;
890;3;
890;2;
890;1;
890;0;
900;5;5|6|7|4|0|2|3|1
900;4;
900;3;
900;2;
900;1;
900;0;
910;5;5|6|7|4|0|2|3|1
910;4;
910;3;
910;2;
910;1;
910;0;
920;5;5|6|7|4|0|2|3|1
920;4;
920;3;
920;2;
920;1;
920;0;
930;5;5|6|7|4|0|2|3|1
930;4;
930;3;
930;2;
930;1;
930;0;
940;5;5|6|7|4|0|2|3|1
940;4;
940;3;
940;2;
940;1;
940;0;
950;5;5|6|7|4|0|2|3|1
950;4;
950;3;
950;2;
950;1;
950;0;
960;5;5|6|7|4|0|2|3|1
960;4;
960;3;
960;2;
960;1;
960;0;
970;5;5|6|7|4|0|2|3|1
970;4;
970;3;
970;2;
970;1;
970;0;
980;5;5|6|7|4|0|2|3|1
980;4;
980;3;
980;2;
980;1;
980;0;
990;5;5|6|7|4|0|2|3|1
990;4;
990;3;
990;2;
990;1;
990;0;
1000;5;5|6|7|4|0|2|3|1
1000;4;
1000;3;
1000;2;
1000;1;
1000;0;
1010;5;5|6|7|4|0|2|3|1
1010;4;
1010;3;
1010;2;
1010;1;
1010;0;
1020;5;5|6|7|4|0|2|3|1
1020;4;
1020;3;
1020;2;
1020;1;
1020;0;
1030;5;5|6|7|4|0|2|3|1
1030;4;
1030;3;
1030;2;
1030;1;
1030;0;
1040;5;5|6|7|4|0|2|3|1
1040;4;
1040;3;
1040;2;
1040;1;
1040;0;
1050;5;5|6|7|4|0|2|3|1
1050;4;
1050;3;
1050;2;
1050;1;
1050;0;
1060;5;5|6|7|4|0|2|3|1
1060;4;
1060;3;
1060;2;
1060;1;
1060;0;
1070;5;5|6|7|4|0|2|3|1
1070;4;
1070;3;
1070;2;
1070;1;
1070;0;
1080;5;5|6|7|4|0|2|3|1
1080;4;
1080;3;
1080;2;
1080;1;
1080;0;
